1,Adds,Subs,Date
1581206400,13549,-10213,09/02/2020
1581811200,8296,-7308,16/02/2020
1582416000,7530,-4554,23/02/2020
1583020800,11295,-12380,01/03/2020
1583625600,20046,-17739,08/03/2020
1584230400,22866,-20754,15/03/2020
1584835200,40799,-15924,22/03/2020
1585440000,84338,-54516,29/03/2020
1586044800,100959,-80795,05/04/2020
1586649600,111736,-93231,12/04/2020
1587254400,70216,-51085,19/04/2020
1587859200,73830,-51211,26/04/2020
1588464000,88206,-65273,03/05/2020
1589068800,77742,-54501,10/05/2020
1589673600,82451,-58460,17/05/2020
1590278400,79641,-54973,24/05/2020
1590883200,83842,-58064,31/05/2020
1591488000,122877,-96650,07/06/2020
1592092800,99093,-72412,14/06/2020
1592697600,124767,-97948,21/06/2020
1593302400,132795,-106084,28/06/2020
1593907200,78792,-51735,05/07/2020
1594512000,117971,-90456,12/07/2020
1595116800,99833,-71903,19/07/2020
1595721600,80923,-52925,26/07/2020
1596326400,94749,-66700,02/08/2020
1596931200,84265,-56218,09/08/2020
1597536000,96334,-68233,16/08/2020
1598140800,91069,-62994,23/08/2020
1598745600,94848,-66732,30/08/2020
1599350400,87630,-59516,06/09/2020
1599955200,122455,-94350,13/09/2020
1600560000,117512,-89404,20/09/2020
1601164800,205512,-177399,27/09/2020
1601769600,117606,-89488,04/10/2020
1602374400,118071,-89946,11/10/2020
1602979200,80748,-52615,18/10/2020
1603584000,171722,-143545,25/10/2020
1604188800,152946,-124699,01/11/2020
1604793600,149686,-121437,08/11/2020
1605398400,145641,-117394,15/11/2020
1606003200,97011,-68499,22/11/2020
1606608000,113560,-85271,29/11/2020
1607212800,99918,-71633,06/12/2020
1607817600,103036,-74762,13/12/2020
1608422400,80708,-52450,20/12/2020
1609027200,81571,-53304,27/12/2020
1609632000,93313,-65050,03/01/2021
1610236800,137372,-108864,10/01/2021
1610841600,98849,-70486,17/01/2021
1611446400,91151,-62868,24/01/2021
1612051200,118201,-89912,31/01/2021
1612656000,107388,-79099,07/02/2021
1613260800,105758,-77449,14/02/2021
1613865600,94008,-65350,21/02/2021
1614470400,132980,-104442,28/02/2021
1615075200,118879,-90562,07/03/2021
1615680000,90625,-62322,14/03/2021
1616284800,163216,-121789,21/03/2021
1616889600,108081,-77134,28/03/2021
1617494400,106546,-78039,04/04/2021
1618099200,91694,-62832,11/04/2021
1618704000,90895,-61362,18/04/2021
1619308800,89903,-61386,25/04/2021
1619913600,89393,-60961,02/05/2021
1620518400,149470,-100919,09/05/2021
1621123200,120739,-84243,16/05/2021
1621728000,87567,-58674,23/05/2021
1622332800,92009,-62816,30/05/2021
1622937600,97233,-68793,06/06/2021
1623542400,86652,-57237,13/06/2021
1624147200,86800,-57768,20/06/2021
1624752000,87659,-59297,27/06/2021
1625356800,85800,-57420,04/07/2021
1625961600,84730,-56162,11/07/2021
1626566400,83989,-55425,18/07/2021
1627171200,84970,-56318,25/07/2021
1627776000,85613,-56600,01/08/2021
1628380800,88928,-60598,08/08/2021
1628985600,90773,-62346,15/08/2021
1629590400,103664,-74151,22/08/2021
1630195200,102507,-70720,29/08/2021
1630800000,87202,-58210,05/09/2021
1631404800,111017,-82036,12/09/2021
1632009600,128885,-90707,19/09/2021
1632614400,114581,-85170,26/09/2021
1633219200,98111,-67216,03/10/2021
1633824000,114078,-84713,10/10/2021
1634428800,140765,-112101,17/10/2021
1635033600,109924,-81184,24/10/2021
1635638400,151519,-122313,31/10/2021
1636243200,110257,-81781,07/11/2021
1636848000,163794,-135325,14/11/2021
1637452800,81312,-52828,21/11/2021
1638057600,96538,-67748,28/11/2021
1638662400,1104891,-1076314,05/12/2021
1639267200,86152,-57608,12/12/2021
1639872000,147424,-118906,19/12/2021
1640476800,119662,-91189,26/12/2021
