Adds,Subs,Year
365,0,2018
99,-1,2018
0,0,2018
0,0,2018
0,0,2018
0,0,2018
0,0,2018
0,0,2018
0,0,2018
0,0,2018
0,0,2018
0,0,2018
61,0,2018
3,-1,2018
0,0,2018
2,-1,2018
0,0,2018
0,0,2018
353968,-223,2018
514,-383,2018
1060,-163,2018
1186,-527,2018
0,0,2018
165,-83,2018
10921,-10288,2019
3131,-181,2019
3735,-3313,2019
8281,-80,2019
8703,-1212,2019
1321,-5120,2019
197,-80,2019
17064,-31185,2019
3657,-2406,2019
8206,-3283,2019
11373,-1580,2019
4829,-3897,2019
1850,-736,2019
19,-9,2019
6340,-5106,2019
423,-322,2019
6139,-5827,2019
7495,-1374,2019
2595,-636,2019
1366,-509,2019
89,-29,2019
5472,-724,2019
5759,-3316,2019
3894,-1362,2019
13170,-1079,2019
1834,-2718,2019
4016,-5608,2019
4871,-3697,2019
1431,-764,2019
2262,-3670,2019
897,-412,2019
2856,-974,2019
2015,-1626,2019
2607,-426,2019
166,-57,2019
1156,-358,2019
557,-132,2019
202,-9,2019
32294,-459,2019
215,-48,2019
3724,-167,2019
594,-66,2019
46751,-6437,2019
5855,-2820,2019
1107,-384,2019
4191,-1642,2019
886,-339,2019
609,-1914,2019
4536,-2296,2019
724,-778,2019
5,-8,2019
764,-35,2019
296,-101,2020
21694,-25624,2020
356,-101,2020
420,-200,2020
1471,-882,2020
34,-31,2020
1441,-151,2020
83,-26,2020
542,-574,2020
1126,-26,2020
20384,-6419,2020
95,-22,2020
2233,-1397,2020
1395,-356,2020
32587,-375,2020
2470,-1191,2020
1311,-188,2020
254,-55,2020
10,-10,2020
5944,-4960,2020
144,-63,2020
576,-58,2020
1174,-297,2020
460,-413,2020
60793,-60756,2020
110881,-110576,2020
4232,-3745,2020
3594,-3345,2020
403,-148,2020
1763,-644,2020
28720,-23766,2020
9312,-42965,2020
17397,-421,2020
31,-19,2020
1501,-326,2020
6970,-6906,2020
2666,-1560,2020
1077,-690,2020
84,-26,2020
120,-23,2020
462,-23,2020
5164,-2865,2020
2698,-967,2020
1765,-30,2020
361,-241,2020
71342,-3745,2020
1308,-132,2020
4003,-250,2020
1,0,2020
704,-439,2020
0,0,2020
0,0,2020
36005,-2313,2021
88898,-5059,2021
5517,-41092,2021
14048,-3086,2021
1526,-11596,2021
46288,-8861,2021
1698,-1697,2021
63766,-85287,2021
246,-48,2021
71723,-43251,2021
945,-618,2021
21509,-20469,2021
8495,-2147,2021
4465,-34781,2021
4649,-7080,2021
2220,-2446,2021
41138,-4247,2021
3057,-641,2021
1486,-475,2021
2855,-39918,2021
19708,-146,2021
10,-1345,2021
36752,-5179,2021
3142,-2573,2021
4854,-2168,2021
929,-320,2021
779,-8911,2021
266,-1043,2021
121,-65,2021
447,-3110,2021
1632,-159,2021
69577,-104228,2021
1155,-563,2021
16252,-476,2021
8331,-58,2021
119,-48,2021
261,-69,2021
665,-265,2021
34,-37,2021
3467,-5795,2021
930,-17,2021
235,-83,2021
616,-1133,2021
6039,-1448,2021
2983,-2085,2021
571,-98,2021
9,-1,2021
7,-4,2021
118,-142,2021
428,-21,2021
0,0,2021
0,0,2021
44,-582,2022
14,-456,2022
51,-2035,2022
3198,-3864,2022
179,-74,2022
601,-548,2022
185,-118,2022
589,-267,2022
912,-340,2022
16,-16,2022
